# TimeStep	Consommation
0	74494
1	71506
2	71134
3	68840
4	65749
5	64041
6	64210
7	64437
8	64785
9	64292
10	65353
11	66180
12	66901
13	68547
14	65090
15	62228
16	61263
17	62443
18	68890
19	71766
20	72184
21	70440
22	68044
23	71485
24	70442
25	66435
26	65837
27	63815
28	61691
29	61440
30	63639
31	66507
32	69182
33	70385
34	72218
35	72886
36	73650
37	74465
38	71265
39	68603
40	66772
41	67284
42	73003
43	75334
44	73625
45	70139
46	67166
47	70420
48	69454
49	65104
50	64075
51	61537
52	58853
53	57993
54	58983
55	60613
56	62538
57	64219
58	66575
59	67501
60	68325
61	69737
62	66584
63	64100
64	62313
65	62095
66	66346
67	68378
68	66614
69	63221
70	60496
71	63797
72	63198
73	58984
74	57594
75	54873
76	52125
77	50728
78	51177
79	52298
80	53821
81	54902
82	57587
83	59637
84	61463
85	63550
86	59944
87	57404
88	56091
89	56942
90	63395
91	67332
92	67224
93	64818
94	62063
95	65405
96	64953
97	61408
98	61073
99	59186
100	57225
101	57774
102	62019
103	70021
104	75913
105	76658
106	77277
107	77087
108	77457
109	77332
110	75449
111	73054
112	71883
113	72791
114	78669
115	82167
116	79409
117	74925
118	70869
119	73804
120	72782
121	68356
122	67642
123	65740
124	63639
125	63950
126	67967
127	75874
128	81469
129	81910
130	81892
131	81462
132	81772
133	81082
134	79030
135	76824
136	75461
137	76014
138	81080
139	83938
140	80782
141	75903
142	71490
143	73907
144	72638
145	68256
146	67502
147	65230
148	63028
149	63506
150	67518
151	74979
152	80932
153	81389
154	80858
155	80013
156	80177
157	79578
158	77174
159	74884
160	73477
161	73827
162	78993
163	82132
164	79300
165	74383
166	70823
167	73094
168	71684
169	67199
170	66055
171	63811
172	61433
173	61450
174	65040
175	72928
176	78165
177	77862
178	77494
179	77075
180	76919
181	76437
182	74267
183	72120
184	70602
185	70794
186	75899
187	78905
188	75947
189	71137
190	67440
191	69708
192	68532
193	63983
194	62851
195	60747
196	58739
197	58777
198	62356
199	69573
200	75146
201	74672
202	74421
203	74091
204	74178
205	73401
206	70930
207	68972
208	67147
209	66845
210	71166
211	73074
212	70143
213	65849
214	62500
215	64875
216	63512
217	58132
218	56517
219	53621
220	51057
221	50155
222	51230
223	53424
224	56276
225	57969
226	60016
227	60433
228	61085
229	62418
230	59333
231	57244
232	55510
233	55639
234	60749
235	63456
236	62012
237	59180
238	56878
239	60635
240	60709
241	56390
242	55087
243	52362
244	49692
245	48884
246	49710
247	51265
248	53214
249	55044
250	58350
251	59768
252	60877
253	62170
